Multimeter	Price	Sensibility	Battery duration	Accuracy	Measurement Range	Resolution	Weight	Ease of Use	Conectivity
1	50	1.5	20	0.5	600	0.1	300	4	3
2	75	2.0	15	0.3	1000	0.05	350	3	4
3	60	1.8	18	0.4	800	0.08	320	3	3
4	90	1.3	22	0.6	500	0.15	380	2	2
5	40	1.6	25	0.7	400	0.2	280	5	1
6	70	2.2	12	0.2	1200	0.02	330	4	4
7	55	1.7	20	0.5	700	0.09	310	3	3
8	85	1.2	18	0.4	600	0.1	360	4	2
9	65	1.9	15	0.3	1000	0.05	340	3	4
10	95	1.0	20	0.5	800	0.08	400	3	3
11	45	1.4	25	0.7	500	0.15	290	4	2
12	80	2.1	10	0.1	1200	0.02	370	5	1
13	58	1.6	22	0.6	700	0.09	320	4	4
14	88	1.1	18	0.4	600	0.1	380	3	3
15	63	1.8	15	0.3	1000	0.05	350	3	2
16	100	0.9	20	0.5	800	0.08	410	2	4
17	48	1.5	25	0.7	500	0.15	300	4	3
18	78	2.0	12	0.2	1200	0.02	360	3	4
19	53	1.7	20	0.5	700	0.09	330	4	2
20	90	1.2	18	0.4	600	0.1	390	3	3
21	68	1.9	15	0.3	1000	0.05	350	2	4
22	110	1.0	20	0.5	800	0.08	420	3	3
